instance_id,summarizer_id,prompt_id,summary,question,answer,prediction,is_correct,is_intended_answer
d0808-A,49,73b2ad835b3089b82b3f5c9f1cfe19fc,"More than 1,500 members of an Iraqi Christian group have gone to northern Iraq to try to protect Christians following attacks on churches in Baghdad and Mosul, the leader of the group said Saturday. Armed men kidnapped a Catholic archbishop in Iraq 's main northern city of Mosul Monday, a local priest said, prompting denunciations from the Vatican of what it called a ""terrorist act"". Iraq's 25.4 million people include ethnic Arabs, Kurds and Turks and are religiously split among the Sunni and Shiite branches of Islam. Christians flourished in Iraq long before anyone, anywhere was Muslim .","What has been attacked and more than 100 Christians have been killed, with many more wounded?",Several churches,churches,TRUE,TRUE
d0808-A,49,793e8557fb84e0d1f72004e64642a52c,"More than 1,500 members of an Iraqi Christian group have gone to northern Iraq to try to protect Christians following attacks on churches in Baghdad and Mosul, the leader of the group said Saturday. Armed men kidnapped a Catholic archbishop in Iraq 's main northern city of Mosul Monday, a local priest said, prompting denunciations from the Vatican of what it called a ""terrorist act"". Iraq's 25.4 million people include ethnic Arabs, Kurds and Turks and are religiously split among the Sunni and Shiite branches of Islam. Christians flourished in Iraq long before anyone, anywhere was Muslim .","In mid - January, just before the upcoming elections, a Catholic archbishop was kidnapped by what in Mosul?",gunmen,Armed men,TRUE,TRUE
d0808-A,G,76999b0b13ede9eb7c5f4fd49db2c999,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.",How much of Iraq's population does Christians make up?,about three percent,three percent,TRUE,TRUE
d0808-A,G,928e7262d87d357c0d17db2e67008be9,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.",Christians make up about three percent of what?,Iraq 's population,Iraq's population,TRUE,TRUE
d0808-A,G,7289a5ae23931ef858212e96fc8a12eb,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.","Since the U.S.-led war started, armed attacks have led many to leave what, mostly for neighboring Syria and Jordan?",the country,Iraq,TRUE,TRUE
d0808-A,G,73b2ad835b3089b82b3f5c9f1cfe19fc,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.","What has been attacked and more than 100 Christians have been killed, with many more wounded?",Several churches,churches,TRUE,TRUE
d0808-A,G,6263d5cb9f0865ec5eb467db5bf65dfe,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.","Several churches in Baghdad and Mosul have been attacked and how many have been killed, with many more wounded?",more than 100 Christians,over 100,TRUE,TRUE
d0808-A,G,dbbe1f751d00b7f1212dbea5090af7da,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.",Those targeted have included what?,people,Christians,TRUE,FALSE
d0808-A,G,5635667e3750694b4cebbbf160b72588,"Assyrian Christians in Iraq date to the pre-Islamic first century. Modern day Christians have represented three percent of Iraq's population. Muslims regularly persecuted Christians, intent on driving them out. Iraqi Christians' future looked brighter after Saddam's fall but now looks worse, even though freedom of religion was stipulated in the interim constitution. Since the war began, over 100 Christians have been killed. Militants target Christians and try to shut their worldly business and keep them from voting. Fifteen thousand Christians have left Iraq. Twelve churches were bombed. The Chaldean patriarch's home was attacked and Mosul's Archbishop Casmoussa was kidnapped.","In mid - January, just before the upcoming elections, who was kidnapped by gunmen in Mosul?",a Catholic archbishop,Archbishop Casmoussa,TRUE,TRUE
d0808-A,H,9d43557b2cbcf4e16e605dcda6bdc626,"Christians make up about three percent of Iraq's population. Since the U.S.-led war started, armed attacks have led many to leave the country, mostly for neighboring Syria and Jordan. Several churches in Baghdad and Mosul have been attacked and more than 100 Christians have been killed, with many more wounded. Those targeted have included people helping the U.S.-led forces, as well as those in occupations seen as breaking Islamic law, such as owners of liquor-stores and beauty parlors. In mid-January, just before the upcoming elections, a Catholic archbishop was kidnapped by gunmen in Mosul.",What have modern day Christians represented three percent of?,Iraq 's population,Iraq's population,TRUE,TRUE
d0808-A,H,608af45e1f154817de3d6ea25290b8d4,"Christians make up about three percent of Iraq's population. Since the U.S.-led war started, armed attacks have led many to leave the country, mostly for neighboring Syria and Jordan. Several churches in Baghdad and Mosul have been attacked and more than 100 Christians have been killed, with many more wounded. Those targeted have included people helping the U.S.-led forces, as well as those in occupations seen as breaking Islamic law, such as owners of liquor-stores and beauty parlors. In mid-January, just before the upcoming elections, a Catholic archbishop was kidnapped by gunmen in Mosul.","Since the war began, how many Christians have been killed?",over 100 Christians,100,TRUE,TRUE
d0808-A,H,6e615bd68a216c0eb32820779feeeb65,"Christians make up about three percent of Iraq's population. Since the U.S.-led war started, armed attacks have led many to leave the country, mostly for neighboring Syria and Jordan. Several churches in Baghdad and Mosul have been attacked and more than 100 Christians have been killed, with many more wounded. Those targeted have included people helping the U.S.-led forces, as well as those in occupations seen as breaking Islamic law, such as owners of liquor-stores and beauty parlors. In mid-January, just before the upcoming elections, a Catholic archbishop was kidnapped by gunmen in Mosul.",How many churches were bombed?,Twelve churches,several,TRUE,TRUE
d0808-A,H,83a00087e5886a6c8c27abe3721bda62,"Christians make up about three percent of Iraq's population. Since the U.S.-led war started, armed attacks have led many to leave the country, mostly for neighboring Syria and Jordan. Several churches in Baghdad and Mosul have been attacked and more than 100 Christians have been killed, with many more wounded. Those targeted have included people helping the U.S.-led forces, as well as those in occupations seen as breaking Islamic law, such as owners of liquor-stores and beauty parlors. In mid-January, just before the upcoming elections, a Catholic archbishop was kidnapped by gunmen in Mosul.",The Chaldean patriarch's home was attacked and who was kidnapped?,Mosul 's Archbishop Casmoussa,a Catholic archbishop,TRUE,TRUE
d0808-A,59,0362000d5a381e42039b96f2055c968f,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",How much of Iraq's population have modern day Christians represented?,three percent,tiny Christian minority,TRUE,TRUE
d0808-A,59,8b7cf44a492602311fb7fac0020fc977,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",Who targets Christians and tries to shut their worldly business and keep them from voting?,Militants,Insurgents,TRUE,TRUE
d0808-A,59,1dc04b897ece1e85d7637b47e1cb3e96,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",Who do militants target and try to shut their worldly business and keep them from voting?,Christians,Iraqi Christians,TRUE,TRUE
d0808-A,59,a1f59e2f7b6433afa8b8bcd4cdd6f6ab,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",Militants target Christians and try to shut their worldly business and keep who from voting?,them,Iraqi Christians,TRUE,TRUE
d0808-A,59,13bdd7de8e13c0e998bc3bb4ef36bfd9,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",Who makes up about three percent of Iraq's population?,Christians,Christian minority,TRUE,TRUE
d0808-A,59,76999b0b13ede9eb7c5f4fd49db2c999,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",How much of Iraq's population does Christians make up?,about three percent,tiny Christian minority,TRUE,TRUE
d0808-A,59,cb13e7ae770e304a016ad3f693e5f7b2,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.",When was a Catholic archbishop kidnapped by gunmen in Mosul?,mid - January,Monday,TRUE,TRUE
d0808-A,59,eaa696c9763c088653484f379b13623a,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.","In mid - January, just before what?",the upcoming elections,January 30 elections,TRUE,TRUE
d0808-A,59,793e8557fb84e0d1f72004e64642a52c,"Matthew Church despite the attacks. Christians in Iraq did not celebrate Christmas this year as they did last year, as they cancelled the midnight mass early Saturday, main feature of the celebrations, due to curfew. Gumen kidnapped a Catholic archbishop in Iraq main northern city of Mosul Monday in what the Vatican condemned as a "" terrorist act "" as persistent violence dogged the run-up to landmark January 30 elections. Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; ETHNIC DIVIDES ARABS: Insurgents abducted Syrian Catholic Archbishop Basile Casmoussa apparently to frighten Iraqi Christians.","In mid - January, just before the upcoming elections, a Catholic archbishop was kidnapped by what in Mosul?",gunmen,Gumen,TRUE,TRUE
d0808-A,44,0362000d5a381e42039b96f2055c968f,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",How much of Iraq's population have modern day Christians represented?,three percent,3 percent,TRUE,TRUE
d0808-A,44,47f770c685ab7b78e0c6e76d911f79cb,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are","Who regularly persecuted Christians, intent on driving them out?",Muslims,Gunmen,FALSE,TRUE
d0808-A,44,8b7cf44a492602311fb7fac0020fc977,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",Who targets Christians and tries to shut their worldly business and keep them from voting?,Militants,Gunmen,FALSE,TRUE
d0808-A,44,c9601e980ba64206b4ccb86d646a16db,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",Militants target Christians and try to shut what and keep them from voting?,their worldly business,Chaldean and Armenian churches,FALSE,FALSE
d0808-A,44,683190a614772468ba10cb3d7678abcd,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",What was attacked and Mosul's Archbishop Casmoussa was kidnapped?,The Chaldean patriarch 's home,Chaldean and Armenian churches,FALSE,FALSE
d0808-A,44,13bdd7de8e13c0e998bc3bb4ef36bfd9,"Iraq, the largest Arab country with a Shiite majority, also has a tiny Christian minority; most of its Jewish population was expelled after Israel's establishment. Gunmen stormed into the city's Chaldean and Armenian churches in the latest attacks on Iraq's minority Christian community. Religious minorities in Iraq, especially Christians, account for 3 percent of the population of 25 million, most of them Shiites and Sunnis. OTHERS: Ethnic Turks as well as Assyrians belonging to the Chaldean-Assyrian church, the main Christian sect in Iraq, are tiny minorities, with Turkmens concentrated in parts of northern Iraq. Most of Christians in Iraq are",Who makes up about three percent of Iraq's population?,Christians,Religious minorities,TRUE,TRUE
